time(s),seg1_sens1,seg1_sens2,seg1_sens3,seg1_sens4,seg1_sens5,seg1_sens6,seg1_sens7,seg1_sens8,seg1_sens9,seg1_sens10,seg2_sens1,seg2_sens2,seg2_sens3,seg2_sens4,seg2_sens5,seg2_sens6,seg2_sens7,seg2_sens8,seg2_sens9,seg2_sens10,seg3_sens1,seg3_sens2,seg3_sens3,seg3_sens4,seg3_sens5,seg3_sens6,seg3_sens7,seg3_sens8,seg3_sens9,seg3_sens10,seg4_sens1,seg4_sens2,seg4_sens3,seg4_sens4,seg4_sens5,seg4_sens6,seg4_sens7,seg4_sens8,seg4_sens9,seg4_sens10,seg5_sens1,seg5_sens2,seg5_sens3,seg5_sens4,seg5_sens5,seg5_sens6,seg5_sens7,seg5_sens8,seg5_sens9,seg5_sens10,seg6_sens1,seg6_sens2,seg6_sens3,seg6_sens4,seg6_sens5,seg6_sens6,seg6_sens7,seg6_sens8,seg6_sens9,seg6_sens10,seg7_sens1,seg7_sens2,seg7_sens3,seg7_sens4,seg7_sens5,seg7_sens6,seg7_sens7,seg7_sens8,seg7_sens9,seg7_sens10,seg8_sens1,seg8_sens2,seg8_sens3,seg8_sens4,seg8_sens5,seg8_sens6,seg8_sens7,seg8_sens8,seg8_sens9,seg8_sens10
21.0382,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56
22.0392,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48
23.0409,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56
24.0427,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63
25.0446,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63
26.0462,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56
27.0472,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56
28.0495,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63
29.0556,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4
30.0592,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48
