time(s),seg1_sens1,seg1_sens2,seg1_sens3,seg1_sens4,seg1_sens5,seg1_sens6,seg1_sens7,seg1_sens8,seg1_sens9,seg1_sens10,seg2_sens1,seg2_sens2,seg2_sens3,seg2_sens4,seg2_sens5,seg2_sens6,seg2_sens7,seg2_sens8,seg2_sens9,seg2_sens10,seg3_sens1,seg3_sens2,seg3_sens3,seg3_sens4,seg3_sens5,seg3_sens6,seg3_sens7,seg3_sens8,seg3_sens9,seg3_sens10,seg4_sens1,seg4_sens2,seg4_sens3,seg4_sens4,seg4_sens5,seg4_sens6,seg4_sens7,seg4_sens8,seg4_sens9,seg4_sens10,seg5_sens1,seg5_sens2,seg5_sens3,seg5_sens4,seg5_sens5,seg5_sens6,seg5_sens7,seg5_sens8,seg5_sens9,seg5_sens10,seg6_sens1,seg6_sens2,seg6_sens3,seg6_sens4,seg6_sens5,seg6_sens6,seg6_sens7,seg6_sens8,seg6_sens9,seg6_sens10,seg7_sens1,seg7_sens2,seg7_sens3,seg7_sens4,seg7_sens5,seg7_sens6,seg7_sens7,seg7_sens8,seg7_sens9,seg7_sens10,seg8_sens1,seg8_sens2,seg8_sens3,seg8_sens4,seg8_sens5,seg8_sens6,seg8_sens7,seg8_sens8,seg8_sens9,seg8_sens10
301.7444,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4,24.25,23.94,24.02,24.48,24.7,24.48,24.4,24.63,24.09,24.4
302.7461,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4,24.09,23.79,24.09,24.63,24.86,24.4,24.25,24.7,24.32,24.4
303.7466,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.32,24.78,24.25,24.25
304.7503,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48,24.17,23.86,24.02,24.63,24.86,24.55,24.4,24.55,24.32,24.48
305.7546,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32,24.02,23.86,24.02,24.63,24.78,24.32,24.32,24.78,24.25,24.32
306.7563,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48,24.17,23.94,23.94,24.48,24.78,24.55,24.55,24.7,24.17,24.48
307.7577,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4,24.25,23.94,23.94,24.48,24.78,24.55,24.48,24.63,24.17,24.4
308.7589,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17,24.09,23.94,24.09,24.55,24.7,24.32,24.4,24.78,24.09,24.17
309.7613,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25,24.09,24.02,24.17,24.7,24.78,24.32,24.4,24.78,24.17,24.25
310.7624,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32,24.25,24.02,24.09,24.55,24.63,24.48,24.48,24.78,24.09,24.32
311.7639,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32,24.17,24.02,24.17,24.7,24.78,24.4,24.4,24.86,24.25,24.32
312.7654,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32,24.09,23.79,24.02,24.63,24.86,24.4,24.25,24.7,24.25,24.32
313.7671,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4,24.17,23.94,24.02,24.55,24.7,24.48,24.4,24.7,24.17,24.4
314.7684,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4,24.17,23.86,24.09,24.7,24.86,24.48,24.32,24.78,24.25,24.4
315.7694,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4,24.09,23.79,24.17,24.63,24.86,24.48,24.32,24.78,24.25,24.4
316.7703,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4,24.17,23.94,24.02,24.48,24.78,24.55,24.55,24.7,24.09,24.4
317.7721,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25,24.02,23.86,24.09,24.63,24.7,24.32,24.4,24.78,24.17,24.25
318.7743,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4,24.17,23.79,24.02,24.63,24.86,24.55,24.4,24.78,24.32,24.4
319.7759,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32,24.09,23.86,24.17,24.7,24.86,24.4,24.4,24.86,24.25,24.32
320.7766,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32,24.09,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.17,24.32
321.7779,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4,24.17,24.02,24.09,24.55,24.63,24.4,24.32,24.63,24.09,24.4
322.7797,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4,24.17,23.86,23.94,24.63,24.78,24.4,24.25,24.7,24.32,24.4
323.7807,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4,24.17,23.94,24.09,24.55,24.7,24.48,24.48,24.78,24.09,24.4
324.7827,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32,24.09,23.94,24.02,24.55,24.7,24.4,24.4,24.86,24.17,24.32
325.7843,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48,24.25,23.94,24.02,24.4,24.7,24.48,24.4,24.7,24.17,24.48
326.7856,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48,24.25,23.94,24.02,24.48,24.78,24.55,24.48,24.7,24.17,24.48
327.7865,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32,24.25,24.02,24.17,24.55,24.7,24.48,24.48,24.86,24.17,24.32
328.7876,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25,24.02,23.86,24.09,24.55,24.7,24.4,24.48,24.86,24.17,24.25
329.7886,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4,24.25,24.02,24.02,24.4,24.7,24.48,24.4,24.7,24.09,24.4
330.7897,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32,24.17,24.02,24.17,24.63,24.78,24.4,24.48,24.86,24.25,24.32
331.7904,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48,24.17,23.86,24.02,24.7,24.93,24.55,24.4,24.63,24.32,24.48
332.7922,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4,24.17,23.79,24.02,24.7,24.93,24.55,24.4,24.63,24.25,24.4
333.7936,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48
334.7946,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48,24.25,23.94,24.02,24.63,24.93,24.63,24.55,24.78,24.17,24.48
335.7953,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55,24.25,23.94,24.02,24.48,24.78,24.63,24.55,24.78,24.32,24.55
336.7967,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4,24.25,24.02,24.09,24.55,24.78,24.63,24.55,24.86,24.09,24.4
337.798,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48,24.25,23.94,24.02,24.7,24.93,24.63,24.55,24.7,24.32,24.48
338.7982,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48,24.25,23.86,24.02,24.7,24.93,24.55,24.55,24.7,24.32,24.48
339.8012,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48,24.32,24.02,24.09,24.55,24.93,24.63,24.63,24.86,24.25,24.48
340.8032,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4,24.25,24.02,24.17,24.63,24.78,24.63,24.63,24.93,24.17,24.4
341.8046,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48,24.25,23.94,24.09,24.55,24.93,24.7,24.63,24.86,24.25,24.48
