time(s),seg1_sens1,seg1_sens2,seg1_sens3,seg1_sens4,seg1_sens5,seg1_sens6,seg1_sens7,seg1_sens8,seg1_sens9,seg1_sens10,seg2_sens1,seg2_sens2,seg2_sens3,seg2_sens4,seg2_sens5,seg2_sens6,seg2_sens7,seg2_sens8,seg2_sens9,seg2_sens10,seg3_sens1,seg3_sens2,seg3_sens3,seg3_sens4,seg3_sens5,seg3_sens6,seg3_sens7,seg3_sens8,seg3_sens9,seg3_sens10,seg4_sens1,seg4_sens2,seg4_sens3,seg4_sens4,seg4_sens5,seg4_sens6,seg4_sens7,seg4_sens8,seg4_sens9,seg4_sens10,seg5_sens1,seg5_sens2,seg5_sens3,seg5_sens4,seg5_sens5,seg5_sens6,seg5_sens7,seg5_sens8,seg5_sens9,seg5_sens10,seg6_sens1,seg6_sens2,seg6_sens3,seg6_sens4,seg6_sens5,seg6_sens6,seg6_sens7,seg6_sens8,seg6_sens9,seg6_sens10,seg7_sens1,seg7_sens2,seg7_sens3,seg7_sens4,seg7_sens5,seg7_sens6,seg7_sens7,seg7_sens8,seg7_sens9,seg7_sens10,seg8_sens1,seg8_sens2,seg8_sens3,seg8_sens4,seg8_sens5,seg8_sens6,seg8_sens7,seg8_sens8,seg8_sens9,seg8_sens10,fl_inner,fl_middle,fl_outer,fr_inner,fr_middle,fr_outer,rl_inner,rl_middle,rl_outer,rr_inner,rr_middle,rr_outer
500.0622,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,24.48,24.17,24.4,24.86,25.24,25.01,24.78,25.16,24.48,24.86,52.63,50.5,43.89,54.45,43.36,50.33,54.79,52.79,47.39,51.27,44.36,49.97
501.067,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.78,24.78,25.31,24.55,24.7,48.33,39.51,46.3,44.29,54.07,49.66,50.29,42.93,48.31,49.98,54.74,53.4
502.0675,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,24.48,24.09,24.32,25.01,25.31,25.01,24.78,25.16,24.63,24.86,53.25,43.76,49.59,50.92,43.72,43.44,42.41,55.22,45.06,54.82,54.64,50.88
503.0705,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,24.48,24.25,24.55,25.01,25.09,24.93,24.86,25.24,24.48,24.63,54.85,41.25,46.92,44.33,40.43,50.46,56.53,55.59,40.84,44.41,55.58,40.74
504.0726,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,24.63,24.25,24.48,24.93,25.24,25.01,24.78,25.16,24.4,24.78,48.12,49.26,51.31,49.64,42.12,48.64,41.8,42.28,43.16,55.07,52.52,41.68
505.0731,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,43.89,49.43,40.94,54.97,51.26,50.19,46.16,46.66,41.76,46.34,49.57,39.62
506.0751,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,24.55,24.17,24.4,25.09,25.31,25.01,24.78,25.16,24.63,24.78,56.17,44.24,52.85,53.17,49.88,50.03,44.87,52.77,51.34,41.77,53.06,42.28
507.0755,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.01,25.31,25.01,24.86,25.16,24.63,24.86,41.79,45.37,50.79,52.12,46.57,44.4,56.8,51.81,50.29,43.58,46.87,45.51
508.077,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,24.63,24.25,24.4,25.01,25.31,25.09,24.86,25.16,24.7,24.93,46.19,46.78,50.33,46.65,45.62,51.31,47.63,46.64,45.91,45.3,47.96,45.93
509.0783,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,24.63,24.25,24.4,24.86,25.24,25.01,24.86,25.24,24.48,24.86,42.87,45.78,48.02,42.13,48.56,52.34,56.64,45.74,44.96,46.54,53.49,38.77
510.0792,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.55,24.09,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,40.5,43.32,51.53,54.97,43.36,50.38,54.82,45.54,41.48,45.98,51.87,41.99
511.0799,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,24.63,24.32,24.55,25.01,25.09,24.93,24.86,25.31,24.48,24.7,50.5,43.04,43.01,45.29,55.63,39.9,47.69,44.21,48.47,55.41,44.84,44.37
512.081,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,24.48,24.25,24.55,25.09,25.16,24.78,24.63,25.16,24.55,24.7,47.05,53.66,54.02,41.4,44.36,52.66,53.86,47.65,50.68,44.48,50.36,40.3
513.0824,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,24.7,24.25,24.55,24.93,25.31,25.09,24.86,25.24,24.48,24.93,50.88,40.58,54.6,52.81,43.1,41.51,53.46,46.69,50.26,47.43,49.57,50.95
514.0839,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,24.4,24.17,24.63,25.16,25.31,25.01,24.7,25.09,24.63,24.86,52.42,45.36,49.96,49.84,54.92,52.35,50.01,51.47,47.61,44.91,46.35,49.44
515.0856,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,24.48,24.32,24.55,25.01,25.16,24.78,24.7,25.24,24.48,24.63,52.33,40.0,41.09,52.26,45.47,46.81,43.74,55.65,43.7,52.46,41.61,48.59
516.087,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.24,25.09,24.78,25.16,24.7,24.93,47.31,45.74,44.26,55.59,49.36,48.24,47.66,43.67,50.76,46.66,45.54,46.35
517.0885,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,24.63,24.17,24.48,25.09,25.31,25.01,24.7,25.09,24.7,24.86,44.19,51.93,48.88,44.41,55.21,41.31,46.24,50.85,43.17,40.77,49.84,41.05
518.0895,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,24.4,24.17,24.55,25.09,25.24,24.86,24.78,25.31,24.63,24.78,51.43,47.12,42.02,54.45,54.5,40.12,44.31,45.32,44.05,43.42,41.8,49.39
519.0907,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,24.48,24.32,24.63,25.01,25.16,24.86,24.86,25.31,24.55,24.63,54.77,46.07,42.36,53.66,47.17,49.47,50.04,51.51,49.16,52.35,46.46,39.58
520.0919,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,24.63,24.25,24.4,25.09,25.31,25.01,24.78,25.16,24.7,24.93,54.53,46.92,40.02,46.39,45.96,52.86,55.1,44.79,39.75,41.58,41.06,42.51
521.0939,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,24.48,24.32,24.55,25.01,25.16,24.86,24.86,25.31,24.55,24.7,41.81,40.74,47.97,55.15,53.76,41.31,45.5,44.33,49.25,44.25,48.05,53.09
522.0941,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,24.63,24.17,24.4,25.09,25.31,25.09,24.86,25.16,24.63,24.86,54.41,50.54,48.89,49.04,46.95,51.97,51.03,43.56,46.02,50.4,41.23,52.47
523.0954,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,24.55,24.17,24.32,25.01,25.31,25.01,24.7,25.09,24.55,24.78,49.95,50.3,43.14,53.96,47.23,40.69,52.6,43.35,50.82,41.82,51.63,49.12
524.0965,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,24.63,24.17,24.48,25.16,25.39,25.01,24.78,25.09,24.7,24.93,47.27,49.23,46.85,55.0,47.59,43.68,49.63,53.62,48.59,51.84,46.29,43.18
525.0975,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,24.63,24.32,24.63,25.09,25.16,24.93,24.86,25.31,24.55,24.7,43.29,48.58,45.68,46.65,44.89,43.28,43.96,46.36,47.8,42.93,54.54,41.13
526.0988,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,24.7,24.32,24.55,24.93,25.24,25.09,24.93,25.31,24.48,24.93,42.27,45.9,45.02,44.66,49.93,44.68,48.89,48.58,46.29,53.41,44.44,46.67
527.0997,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,24.7,24.25,24.48,24.93,25.31,25.09,24.86,25.24,24.48,24.86,54.23,53.2,45.24,46.18,48.39,53.07,42.06,48.6,51.62,54.73,46.23,50.82
528.0999,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,24.55,24.25,24.63,25.16,25.31,24.93,24.7,25.31,24.7,24.86,43.13,52.56,50.42,54.94,49.48,44.31,43.28,53.12,39.9,43.13,43.6,43.58
529.1031,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,24.4,24.25,24.55,25.01,25.16,24.93,24.86,25.31,24.55,24.7,42.46,40.45,41.95,44.6,45.75,46.17,42.83,40.16,51.69,52.31,48.27,42.81
530.1053,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,24.63,24.25,24.4,24.93,25.24,25.01,24.86,25.24,24.48,24.93,47.53,43.7,47.91,47.84,49.64,45.58,51.11,48.38,51.28,42.55,43.88,41.81
531.1054,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,24.55,24.17,24.48,25.16,25.31,24.93,24.63,25.16,24.63,24.86,41.25,52.93,55.23,52.0,42.41,47.99,43.58,54.76,48.66,42.69,49.07,50.96
532.1069,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,24.25,24.09,24.48,25.01,25.16,24.86,24.78,25.31,24.63,24.7,47.93,51.42,39.86,48.21,41.48,49.07,44.92,43.88,42.5,40.87,48.68,44.51
533.1077,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,24.55,24.17,24.4,25.09,25.39,25.09,24.86,25.16,24.7,24.93,51.82,44.79,52.63,55.18,49.78,52.38,41.45,43.42,42.44,50.05,41.42,51.92
534.1091,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,24.48,24.17,24.63,25.16,25.31,25.01,24.7,25.24,24.7,24.86,45.29,42.36,48.64,55.32,49.73,49.47,42.15,50.41,45.02,51.47,42.25,48.42
