time(s),seg1_sens1,seg1_sens2,seg1_sens3,seg1_sens4,seg1_sens5,seg1_sens6,seg1_sens7,seg1_sens8,seg1_sens9,seg1_sens10,seg2_sens1,seg2_sens2,seg2_sens3,seg2_sens4,seg2_sens5,seg2_sens6,seg2_sens7,seg2_sens8,seg2_sens9,seg2_sens10,seg3_sens1,seg3_sens2,seg3_sens3,seg3_sens4,seg3_sens5,seg3_sens6,seg3_sens7,seg3_sens8,seg3_sens9,seg3_sens10,seg4_sens1,seg4_sens2,seg4_sens3,seg4_sens4,seg4_sens5,seg4_sens6,seg4_sens7,seg4_sens8,seg4_sens9,seg4_sens10,seg5_sens1,seg5_sens2,seg5_sens3,seg5_sens4,seg5_sens5,seg5_sens6,seg5_sens7,seg5_sens8,seg5_sens9,seg5_sens10,seg6_sens1,seg6_sens2,seg6_sens3,seg6_sens4,seg6_sens5,seg6_sens6,seg6_sens7,seg6_sens8,seg6_sens9,seg6_sens10,seg7_sens1,seg7_sens2,seg7_sens3,seg7_sens4,seg7_sens5,seg7_sens6,seg7_sens7,seg7_sens8,seg7_sens9,seg7_sens10,seg8_sens1,seg8_sens2,seg8_sens3,seg8_sens4,seg8_sens5,seg8_sens6,seg8_sens7,seg8_sens8,seg8_sens9,seg8_sens10,fl_inner,fl_middle,fl_outer,fr_inner,fr_middle,fr_outer,rl_inner,rl_middle,rl_outer,rr_inner,rr_middle,rr_outer
11.0188,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,23.17,23.25,22.94,23.48,23.63,23.25,23.63,23.56,23.33,23.33,26.45,25.51,25.25,26.69,26.05,24.07,27.83,26.65,23.78,27.17,26.83,23.51
12.0211,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,23.17,23.09,22.79,23.48,23.79,23.33,23.48,23.4,23.48,23.56,26.82,25.3,25.78,27.59,25.98,24.33,27.56,26.37,23.71,26.47,26.24,23.76
13.0212,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,23.09,23.17,22.94,23.48,23.63,23.33,23.63,23.56,23.33,23.48,27.74,24.92,26.25,27.43,26.45,25.06,27.39,25.97,23.58,26.79,27.27,23.6
14.026,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,23.25,23.09,22.79,23.48,23.79,23.33,23.56,23.33,23.33,23.48,27.17,24.96,25.2,25.73,27.05,25.16,27.83,26.57,24.38,27.1,27.05,24.04
15.0283,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,23.17,23.17,22.94,23.48,23.63,23.4,23.63,23.56,23.33,23.4,26.75,26.1,26.2,27.28,27.17,24.22,27.11,26.86,24.04,25.57,26.44,25.35
16.0289,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,23.25,23.25,23.02,23.56,23.71,23.25,23.56,23.56,23.4,23.4,27.57,24.95,25.78,27.27,27.16,24.66,27.37,26.05,23.89,26.82,26.26,23.43
17.0322,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,23.33,23.25,22.94,23.4,23.71,23.4,23.71,23.56,23.25,23.4,27.28,24.75,25.88,27.74,27.0,25.78,28.4,26.53,24.68,26.59,27.01,23.73
18.0336,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,23.17,23.09,23.02,23.63,23.79,23.33,23.48,23.56,23.48,23.56,26.08,25.28,25.7,28.92,26.25,24.85,27.81,26.73,25.24,26.71,27.17,24.92
19.0356,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,23.33,23.25,22.86,23.4,23.79,23.48,23.63,23.48,23.4,23.56,26.92,25.03,26.62,27.33,27.63,25.65,28.2,27.11,24.46,26.23,27.33,24.52
20.0367,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,23.4,23.33,23.02,23.48,23.79,23.48,23.71,23.63,23.33,23.56,27.25,25.66,25.62,28.15,26.69,25.83,29.7,27.02,23.97,26.23,27.61,24.59
21.0382,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,23.17,23.17,23.02,23.63,23.86,23.33,23.48,23.56,23.56,23.56,26.66,24.97,25.38,27.65,27.53,25.46,27.75,27.08,24.81,26.76,26.35,25.14
22.0392,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,23.33,23.33,23.02,23.56,23.71,23.48,23.71,23.63,23.4,23.48,27.13,25.58,26.44,28.08,27.17,25.29,28.45,26.51,25.38,26.71,27.4,24.3
23.0409,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,23.25,23.09,23.02,23.63,23.86,23.4,23.56,23.4,23.48,23.56,26.92,26.24,28.75,28.04,27.74,26.14,28.46,26.6,25.01,27.25,26.9,24.6
24.0427,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,23.33,23.17,22.94,23.63,23.86,23.48,23.63,23.4,23.56,23.63,26.63,26.21,26.51,27.94,27.37,24.59,27.77,28.55,25.12,25.94,27.84,25.34
25.0446,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,23.33,23.09,22.86,23.56,23.79,23.33,23.56,23.48,23.48,23.63,27.13,27.14,26.49,27.64,27.53,25.26,29.08,26.95,24.52,27.35,26.88,24.65
26.0462,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,23.25,23.17,23.09,23.71,23.86,23.48,23.56,23.48,23.48,23.56,27.41,26.59,27.74,29.04,28.35,25.89,29.39,27.54,25.52,26.89,26.52,24.38
27.0472,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,23.25,23.17,23.09,23.71,23.86,23.4,23.56,23.56,23.56,23.56,28.12,25.61,26.64,27.42,26.82,26.19,28.11,26.21,24.66,28.41,27.21,25.34
28.0495,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,23.33,23.25,22.86,23.56,23.86,23.48,23.63,23.56,23.48,23.63,26.42,26.2,26.75,28.69,28.29,26.06,29.2,26.48,25.53,27.49,27.41,26.26
29.0556,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,23.33,23.33,23.09,23.56,23.71,23.33,23.63,23.63,23.33,23.4,29.07,26.06,26.34,28.64,26.73,25.19,29.88,26.82,26.46,27.68,27.59,25.57
30.0592,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,23.4,23.33,23.09,23.56,23.71,23.4,23.71,23.71,23.4,23.48,27.46,26.42,27.0,28.4,27.81,26.1,27.25,26.49,25.69,27.51,29.17,25.37
31.0642,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,23.33,23.25,22.94,23.56,23.86,23.56,23.71,23.63,23.33,23.56,28.24,27.39,28.18,29.69,28.49,26.26,28.43,24.65,25.9,26.58,26.61,26.78
32.0675,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,23.25,23.33,23.17,23.63,23.79,23.33,23.56,23.63,23.48,23.48,28.24,26.45,26.39,28.86,26.92,26.66,29.02,26.79,25.43,27.53,27.22,24.64
33.0706,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,23.4,23.33,23.09,23.48,23.86,23.56,23.79,23.71,23.33,23.56,27.17,27.54,27.24,28.39,27.89,26.24,28.57,28.08,25.36,27.5,28.37,25.62
